column,dtype,row_count,non_null_rows,unique_values
accommodates,int64,40255,40255,16
availability_30,int64,40255,40255,31
availability_365,int64,40255,40255,366
availability_60,int64,40255,40255,61
availability_90,int64,40255,40255,91
bathrooms,float64,40255,35117,31
bedrooms,float64,40255,38666,21
beds,float64,40255,35084,32
city,object,40255,40255,2
estimated_occupancy_l365d,int64,40255,40255,91
estimated_revenue_l365d,float64,40255,35062,4821
has_aircon,int8,40255,40255,2
has_dryer,int8,40255,40255,2
has_heating,int8,40255,40255,2
has_kitchen,int8,40255,40255,2
has_parking,int8,40255,40255,2
has_pool,int8,40255,40255,2
has_tv,int8,40255,40255,2
has_washer,int8,40255,40255,2
has_wifi,int8,40255,40255,2
host_acceptance_rate,float64,40255,36701,95
host_id,int64,40255,40255,15297
host_is_superhost,Int64,40255,38112,2
host_listings_count,float64,40255,40252,134
host_response_rate,float64,40255,35380,67
host_since,datetime64[ns],40255,40252,4667
host_total_listings_count,float64,40255,40252,159
instant_bookable,Int64,40255,40255,2
latitude,float64,40255,40255,23977
longitude,float64,40255,40255,25544
maximum_nights,int64,40255,40255,206
minimum_nights,int64,40255,40255,78
name,object,40255,40255,38824
neighbourhood_cleansed,object,40255,40255,292
neighbourhood_group_cleansed,object,40255,40255,33
number_of_reviews,int64,40255,40255,714
occupancy_rate,float64,40255,40255,91
occupancy_rate_alt,float64,40255,40255,366
price,float64,40255,35062,878
price_per_bed,float64,40255,34602,2178
price_per_bedroom,float64,40255,32487,1684
price_per_guest,float64,40255,35062,2168
property_id,int64,40255,40255,40255
property_type,object,40255,40255,93
review_scores_cleanliness,float64,40255,35560,186
review_scores_location,float64,40255,35559,175
review_scores_rating,float64,40255,35560,174
review_scores_value,float64,40255,35560,180
reviews_per_month,float64,40255,35560,867
room_type,object,40255,40255,4
