city,neighbourhood_cleansed,neighbourhood_group_cleansed,region_group,market_segment,coastal_flag,urban_flag
lisbon,A dos Cunhados e Maceira,Torres Vedras,lisbon_coastal,coast_beach,1,0
lisbon,Abrigada e Cabanas de Torres,Alenquer,lisbon_inland,inland_town,0,0
lisbon,Agualva e Mira-Sintra,Sintra,lisbon_metro,urban_area,0,1
lisbon,Ajuda,Lisboa,lisbon_core,city_area,0,1
lisbon,Alcabideche,Cascais,lisbon_coastal,coast_beach,1,0
lisbon,Alcntara,Lisboa,lisbon_core,city_area,0,1
lisbon,Aldeia Galega da Merceana e Aldeia Gavinha,Alenquer,lisbon_inland,inland_town,0,0
lisbon,Alenquer (Santo Estvo e Triana),Alenquer,lisbon_inland,inland_town,0,0
lisbon,Alfragide,Amadora,lisbon_metro,urban_area,0,1
lisbon,"Algs, Linda-a-Velha e Cruz Quebrada-Dafundo",Oeiras,lisbon_coastal,coast_beach,1,0
lisbon,Alguber,Cadaval,lisbon_inland,inland_town,0,0
lisbon,Algueiro-Mem Martins,Sintra,lisbon_metro,urban_area,0,1
lisbon,"Alhandra, So Joo dos Montes e Calhandriz",Vila Franca De Xira,lisbon_metro,urban_area,0,1
lisbon,"Almargem do Bispo, Pro Pinheiro e Montelavar",Sintra,lisbon_metro,urban_area,0,1
lisbon,Alvalade,Lisboa,lisbon_core,city_area,0,1
lisbon,Alverca do Ribatejo e Sobralinho,Vila Franca De Xira,lisbon_metro,urban_area,0,1
lisbon,Areeiro,Lisboa,lisbon_core,city_area,0,1
lisbon,Arranh,Arruda Dos Vinhos,lisbon_inland,inland_town,0,0
lisbon,Arroios,Lisboa,lisbon_core,city_area,0,1
lisbon,Arruda dos Vinhos,Arruda Dos Vinhos,lisbon_inland,inland_town,0,0
lisbon,Aveiras de Baixo,Azambuja,lisbon_inland,inland_town,0,0
lisbon,Aveiras de Cima,Azambuja,lisbon_inland,inland_town,0,0
lisbon,Avenidas Novas,Lisboa,lisbon_core,city_area,0,1
lisbon,Azambuja,Azambuja,lisbon_inland,inland_town,0,0
lisbon,Azueira e Sobral da Abelheira,Mafra,lisbon_coastal,coast_beach,1,0
lisbon,Barcarena,Oeiras,lisbon_coastal,coast_beach,1,0
lisbon,Beato,Lisboa,lisbon_core,city_area,0,1
lisbon,Belm,Lisboa,lisbon_core,city_area,0,1
lisbon,Benfica,Lisboa,lisbon_core,city_area,0,1
lisbon,Bucelas,Loures,lisbon_metro,urban_area,0,1
lisbon,Cacm e So Marcos,Sintra,lisbon_metro,urban_area,0,1
lisbon,Cadaval e Pro Moniz,Cadaval,lisbon_inland,inland_town,0,0
lisbon,"Camarate, Unhos e Apelao",Loures,lisbon_metro,urban_area,0,1
lisbon,Campelos e Outeiro da Cabea,Torres Vedras,lisbon_coastal,coast_beach,1,0
lisbon,Campo de Ourique,Lisboa,lisbon_core,city_area,0,1
lisbon,Campolide,Lisboa,lisbon_core,city_area,0,1
lisbon,Carcavelos e Parede,Cascais,lisbon_coastal,coast_beach,1,0
lisbon,Cardosas,Arruda Dos Vinhos,lisbon_inland,inland_town,0,0
lisbon,Carnaxide e Queijas,Oeiras,lisbon_coastal,coast_beach,1,0
lisbon,Carnide,Lisboa,lisbon_core,city_area,0,1
lisbon,Carregado e Cadafais,Alenquer,lisbon_inland,inland_town,0,0
lisbon,Carvoeira,Mafra,lisbon_coastal,coast_beach,1,0
lisbon,Carvoeira e Carmes,Torres Vedras,lisbon_coastal,coast_beach,1,0
lisbon,Casal de Cambra,Sintra,lisbon_metro,urban_area,0,1
lisbon,Cascais e Estoril,Cascais,lisbon_coastal,coast_beach,1,0
lisbon,Colares,Sintra,lisbon_metro,urban_area,0,1
lisbon,Dois Portos e Runa,Torres Vedras,lisbon_coastal,coast_beach,1,0
lisbon,Encarnao,Mafra,lisbon_coastal,coast_beach,1,0
lisbon,Encosta do Sol,Amadora,lisbon_metro,urban_area,0,1
lisbon,"Enxara do Bispo, Gradil e Vila Franca do Rosrio",Mafra,lisbon_coastal,coast_beach,1,0
lisbon,Ericeira,Mafra,lisbon_coastal,coast_beach,1,0
lisbon,Estrela,Lisboa,lisbon_core,city_area,0,1
lisbon,Falagueira-Venda Nova,Amadora,lisbon_metro,urban_area,0,1
lisbon,Fanhes,Loures,lisbon_metro,urban_area,0,1
lisbon,Freiria,Torres Vedras,lisbon_coastal,coast_beach,1,0
lisbon,Igreja Nova e Cheleiros,Mafra,lisbon_coastal,coast_beach,1,0
lisbon,Lamas e Cercal,Cadaval,lisbon_inland,inland_town,0,0
lisbon,Loures,Loures,lisbon_metro,urban_area,0,1
lisbon,Lourinh e Atalaia,Lourinh,lisbon_coastal,coast_beach,1,0
lisbon,Lousa,Loures,lisbon_metro,urban_area,0,1
lisbon,Lumiar,Lisboa,lisbon_core,city_area,0,1
lisbon,Mafra,Mafra,lisbon_coastal,coast_beach,1,0
lisbon,Malveira e So Miguel de Alcaina,Mafra,lisbon_coastal,coast_beach,1,0
lisbon,"Manique do Intendente, V.N.de S.Pedro e Maussa",Azambuja,lisbon_inland,inland_town,0,0
lisbon,Marvila,Lisboa,lisbon_core,city_area,0,1
lisbon,Massam e Monte Abrao,Sintra,lisbon_metro,urban_area,0,1
lisbon,Maxial e Monte Redondo,Torres Vedras,lisbon_coastal,coast_beach,1,0
lisbon,Meca,Alenquer,lisbon_inland,inland_town,0,0
lisbon,Mina de gua,Amadora,lisbon_metro,urban_area,0,1
lisbon,Miragaia e Marteleira,Lourinh,lisbon_coastal,coast_beach,1,0
lisbon,Misericrdia,Lisboa,lisbon_core,city_area,0,1
lisbon,Moita dos Ferreiros,Lourinh,lisbon_coastal,coast_beach,1,0
lisbon,Moscavide e Portela,Loures,lisbon_metro,urban_area,0,1
lisbon,Odivelas,Odivelas,lisbon_metro,urban_area,0,1
lisbon,"Oeiras e S.Julio da Barra, Pao de Arcos e Caxias",Oeiras,lisbon_coastal,coast_beach,1,0
lisbon,Olhalvo,Alenquer,lisbon_inland,inland_town,0,0
lisbon,Olivais,Lisboa,lisbon_core,city_area,0,1
lisbon,Ota,Alenquer,lisbon_inland,inland_town,0,0
lisbon,Painho e Figueiros,Cadaval,lisbon_inland,inland_town,0,0
lisbon,Parque das Naes,Lisboa,lisbon_core,city_area,0,1
lisbon,Penha de Frana,Lisboa,lisbon_core,city_area,0,1
lisbon,Peral,Cadaval,lisbon_inland,inland_town,0,0
lisbon,Ponte do Rol,Torres Vedras,lisbon_coastal,coast_beach,1,0
lisbon,Pontinha e Fames,Odivelas,lisbon_metro,urban_area,0,1
lisbon,Porto Salvo,Oeiras,lisbon_coastal,coast_beach,1,0
lisbon,Pvoa de Santa Iria e Forte da Casa,Vila Franca De Xira,lisbon_metro,urban_area,0,1
lisbon,Pvoa de Santo Adrio e Olival de Basto,Odivelas,lisbon_metro,urban_area,0,1
lisbon,Queluz e Belas,Sintra,lisbon_metro,urban_area,0,1
lisbon,Ramada e Caneas,Odivelas,lisbon_metro,urban_area,0,1
lisbon,Ramalhal,Torres Vedras,lisbon_coastal,coast_beach,1,0
lisbon,Reguengo Grande,Lourinh,lisbon_coastal,coast_beach,1,0
lisbon,Ribafria e Pereiro de Palhacana,Alenquer,lisbon_inland,inland_town,0,0
lisbon,Ribamar,Lourinh,lisbon_coastal,coast_beach,1,0
lisbon,Rio de Mouro,Sintra,lisbon_metro,urban_area,0,1
lisbon,"S.Maria, S.Miguel, S.Martinho, S.Pedro Penaferrim",Sintra,lisbon_metro,urban_area,0,1
lisbon,"S.Pedro e Santiago, S.Maria e S.Miguel, e Mataces",Torres Vedras,lisbon_coastal,coast_beach,1,0
lisbon,Sacavm e Prior Velho,Loures,lisbon_metro,urban_area,0,1
lisbon,Santa Brbara,Lourinh,lisbon_coastal,coast_beach,1,0
lisbon,Santa Clara,Lisboa,lisbon_core,city_area,0,1
lisbon,"Santa Iria de Azoia, So Joo da Talha e Bobadela",Loures,lisbon_metro,urban_area,0,1
lisbon,Santa Maria Maior,Lisboa,lisbon_core,city_area,0,1
lisbon,Santiago dos Velhos,Arruda Dos Vinhos,lisbon_inland,inland_town,0,0
lisbon,Santo Antnio,Lisboa,lisbon_core,city_area,0,1
lisbon,Santo Antnio dos Cavaleiros e Frielas,Loures,lisbon_metro,urban_area,0,1
lisbon,Santo Anto e So Julio do Tojal,Loures,lisbon_metro,urban_area,0,1
lisbon,Santo Isidoro,Mafra,lisbon_coastal,coast_beach,1,0
lisbon,Santo Quintino,Sobral De Monte Agrao,lisbon_inland,inland_town,0,0
lisbon,Sapataria,Sobral De Monte Agrao,lisbon_inland,inland_town,0,0
lisbon,Silveira,Torres Vedras,lisbon_coastal,coast_beach,1,0
lisbon,So Bartolomeu dos Galegos e Moledo,Lourinh,lisbon_coastal,coast_beach,1,0
lisbon,So Domingos de Benfica,Lisboa,lisbon_core,city_area,0,1
lisbon,So Domingos de Rana,Cascais,lisbon_coastal,coast_beach,1,0
lisbon,So Joo das Lampas e Terrugem,Sintra,lisbon_metro,urban_area,0,1
lisbon,So Pedro da Cadeira,Torres Vedras,lisbon_coastal,coast_beach,1,0
lisbon,So Vicente,Lisboa,lisbon_core,city_area,0,1
lisbon,Sobral de Monte Agrao,Sobral De Monte Agrao,lisbon_inland,inland_town,0,0
lisbon,Turcifal,Torres Vedras,lisbon_coastal,coast_beach,1,0
lisbon,Vale do Paraso,Azambuja,lisbon_inland,inland_town,0,0
lisbon,Venda do Pinheiro e Santo Estvo das Gals,Mafra,lisbon_coastal,coast_beach,1,0
lisbon,Venteira,Amadora,lisbon_metro,urban_area,0,1
lisbon,Ventosa,Alenquer,lisbon_inland,inland_town,0,0
lisbon,Ventosa,Torres Vedras,lisbon_coastal,coast_beach,1,0
lisbon,Vermelha,Cadaval,lisbon_inland,inland_town,0,0
lisbon,Vialonga,Vila Franca De Xira,lisbon_metro,urban_area,0,1
lisbon,Vila Franca de Xira,Vila Franca De Xira,lisbon_metro,urban_area,0,1
lisbon,Vila Nova da Rainha,Azambuja,lisbon_inland,inland_town,0,0
lisbon,Vila Verde dos Francos,Alenquer,lisbon_inland,inland_town,0,0
lisbon,Vilar,Cadaval,lisbon_inland,inland_town,0,0
lisbon,Vimeiro,Lourinh,lisbon_coastal,coast_beach,1,0
lisbon,guas Livres,Amadora,lisbon_metro,urban_area,0,1
porto,"AVer-o-Mar, Amorim e Terroso",PÓVOA DE VARZIM,porto_coastal,coast_beach,1,0
porto,Agrela,SANTO TIRSO,porto_inland,inland_town,0,0
porto,Aguiar de Sousa,PAREDES,porto_inland,inland_town,0,0
porto,Aguçadoura e Navais,PÓVOA DE VARZIM,porto_coastal,coast_beach,1,0
porto,"Aldoar, Foz do Douro e Nevogilde",PORTO,porto_core,city_area,0,1
porto,Alfena,VALONGO,porto_metro,urban_area,0,1
porto,Alvarelhos e Guidões,TROFA,porto_inland,inland_town,0,0
porto,Alvarenga,AROUCA,porto_inland,inland_town,0,0
porto,Anta e Guetim,ESPINHO,porto_coastal,coast_beach,1,0
porto,Arcozelo,VILA NOVA DE GAIA,porto_coastal,coast_beach,1,0
porto,"Areias, Sequeiró, Lama e Palmeira",SANTO TIRSO,porto_inland,inland_town,0,0
porto,Argoncilhe,SANTA MARIA DA FEIRA,porto_inland,inland_town,0,0
porto,Arouca e Burgo,AROUCA,porto_inland,inland_town,0,0
porto,Arrifana,SANTA MARIA DA FEIRA,porto_inland,inland_town,0,0
porto,Arões,VALE DE CAMBRA,porto_inland,inland_town,0,0
porto,Aveleda,VILA DO CONDE,porto_coastal,coast_beach,1,0
porto,Aves,SANTO TIRSO,porto_inland,inland_town,0,0
porto,Avintes,VILA NOVA DE GAIA,porto_coastal,coast_beach,1,0
porto,Azurara,VILA DO CONDE,porto_coastal,coast_beach,1,0
porto,Baguim do Monte (Rio Tinto),GONDOMAR,porto_metro,urban_area,0,1
porto,"Bagunte, Ferreiró, Outeiro Maior e Parada",VILA DO CONDE,porto_coastal,coast_beach,1,0
porto,Balazar,PÓVOA DE VARZIM,porto_coastal,coast_beach,1,0
porto,Baltar,PAREDES,porto_inland,inland_town,0,0
porto,Bonfim,PORTO,porto_core,city_area,0,1
porto,Bougado (São Martinho e Santiago),TROFA,porto_inland,inland_town,0,0
porto,Cabreiros e Albergaria da Serra,AROUCA,porto_inland,inland_town,0,0
