column,missing_rows,missing_ratio,missing_pct
price_per_bedroom,7768.0,0.19296981741398583,19.3
price_per_bed,5653.0,0.14042976027822632,14.04
estimated_revenue_l365d,5193.0,0.12900260837163086,12.9
price,5193.0,0.12900260837163086,12.9
price_per_guest,5193.0,0.12900260837163086,12.9
beds,5171.0,0.12845609241088063,12.85
bathrooms,5138.0,0.12763631846975532,12.76
host_response_rate,4875.0,0.12110296857533226,12.11
review_scores_location,4696.0,0.11665631598559185,11.67
review_scores_cleanliness,4695.0,0.1166314743510123,11.66
review_scores_rating,4695.0,0.1166314743510123,11.66
review_scores_value,4695.0,0.1166314743510123,11.66
reviews_per_month,4695.0,0.1166314743510123,11.66
host_acceptance_rate,3554.0,0.08828716929573965,8.83
host_is_superhost,2143.0,0.05323562290398708,5.32
bedrooms,1589.0,0.03947335734691343,3.95
host_listings_count,3.0,7.452490373866601e-05,0.01
host_since,3.0,7.452490373866601e-05,0.01
host_total_listings_count,3.0,7.452490373866601e-05,0.01
accommodates,0.0,0.0,0.0
availability_30,0.0,0.0,0.0
availability_365,0.0,0.0,0.0
availability_60,0.0,0.0,0.0
availability_90,0.0,0.0,0.0
city,0.0,0.0,0.0
estimated_occupancy_l365d,0.0,0.0,0.0
has_aircon,0.0,0.0,0.0
has_dryer,0.0,0.0,0.0
has_heating,0.0,0.0,0.0
has_kitchen,0.0,0.0,0.0
has_parking,0.0,0.0,0.0
has_pool,0.0,0.0,0.0
has_tv,0.0,0.0,0.0
has_washer,0.0,0.0,0.0
has_wifi,0.0,0.0,0.0
host_id,0.0,0.0,0.0
instant_bookable,0.0,0.0,0.0
latitude,0.0,0.0,0.0
longitude,0.0,0.0,0.0
maximum_nights,0.0,0.0,0.0
minimum_nights,0.0,0.0,0.0
name,0.0,0.0,0.0
neighbourhood_cleansed,0.0,0.0,0.0
neighbourhood_group_cleansed,0.0,0.0,0.0
number_of_reviews,0.0,0.0,0.0
occupancy_rate,0.0,0.0,0.0
occupancy_rate_alt,0.0,0.0,0.0
property_id,0.0,0.0,0.0
property_type,0.0,0.0,0.0
room_type,0.0,0.0,0.0
